Timestamp,Temperature(C),Humidity(%),MQ4_Voltage(V),MQ4_PPM,MQ7_Voltage(V),MQ7_CO_PPM
2025-07-12 10:47:20,18.7,71.3,0.49,4.28,0.35,0.51
2025-07-12 11:17:20,18.8,71.3,0.50,4.65,0.37,0.54
2025-07-12 11:47:20,18.8,71.3,0.50,4.60,0.37,0.56
2025-07-12 12:17:20,19.0,71.3,0.50,4.62,0.38,0.57
2025-07-12 12:47:20,19.1,71.3,0.52,5.09,0.39,0.61
2025-07-12 13:17:20,19.0,71.3,0.47,3.97,0.36,0.53
2025-07-12 13:47:20,19.1,71.1,0.48,4.11,0.36,0.53
2025-07-12 14:17:20,19.3,70.0,0.46,3.67,0.36,0.54
2025-07-03 12:38:41,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-06 17:24:22,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-12 14:40:34,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-12 15:10:34,20.1,67.5,0.59,9.70,0.41,1.18
2025-07-12 15:40:34,20.0,67.6,0.57,8.85,0.38,1.01
2025-07-12 16:10:34,19.7,68.5,0.61,10.45,0.41,1.14
2025-07-12 16:40:34,19.5,70.5,0.64,11.66,0.46,1.40
2025-07-12 17:10:34,19.1,71.3,0.63,11.25,0.38,1.02
2025-07-12 17:40:34,19.0,71.3,0.65,12.29,0.43,1.26
2025-07-12 18:10:34,18.8,71.3,0.63,11.10,0.42,1.22
2025-07-12 18:40:34,19.3,71.3,0.68,13.60,0.56,2.00
2025-07-12 19:10:34,19.2,71.3,0.70,15.15,0.34,0.82
2025-07-12 19:40:34,19.6,71.3,0.80,21.35,0.37,0.98
2025-07-12 20:10:34,19.6,71.3,0.76,18.69,0.34,0.84
2025-07-12 20:40:34,19.8,71.3,0.82,22.56,0.35,0.87
2025-07-12 21:10:34,19.9,71.3,0.81,22.07,0.34,0.83
2025-07-12 21:40:34,19.7,71.3,0.73,16.68,0.31,0.71
2025-07-12 22:10:34,19.7,71.3,0.78,20.07,0.35,0.88
2025-07-12 22:40:34,20.1,71.3,0.73,16.48,0.34,0.84
2025-07-05 13:51:03,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-05 13:51:24,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-02 16:56:38,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-02 16:58:42,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-05 14:00:43,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-05 14:30:43,20.6,57.0,0.24,2.10,0.14,0.49
2025-07-05 15:00:43,20.7,57.8,0.24,2.10,0.13,0.43
2025-07-05 15:30:43,21.0,55.8,0.23,1.79,0.14,0.52
2025-07-05 16:00:43,20.9,55.7,0.22,1.63,0.14,0.52
2025-07-05 16:30:43,20.8,55.4,0.24,2.02,0.14,0.49
2025-07-05 17:00:43,20.6,53.8,0.28,2.90,0.14,0.50
2025-07-05 17:30:43,20.4,57.4,0.29,3.25,0.13,0.47
2025-07-05 18:00:43,20.2,60.3,0.29,3.07,0.14,0.49
2025-07-05 18:30:43,19.9,61.5,0.30,3.36,0.13,0.44
2025-07-05 19:00:43,19.4,63.8,0.28,2.84,0.13,0.45
2025-07-05 19:30:43,19.2,64.0,0.26,2.34,0.14,0.50
2025-07-05 20:00:43,19.1,64.6,0.27,2.64,0.13,0.43
2025-07-05 20:30:43,19.0,65.7,0.27,2.75,0.14,0.49
2025-07-05 21:00:43,18.9,66.4,0.29,3.13,0.13,0.46
2025-07-05 21:30:43,19.0,66.7,0.28,2.92,0.13,0.46
2025-07-05 22:00:43,18.5,67.5,0.28,2.99,0.14,0.52
2025-07-07 02:04:08,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-07 02:34:57,21.6,67.3,0.68,5.33,0.36,0.67
2025-07-07 03:04:57,21.5,67.6,0.67,5.13,0.35,0.64
2025-07-07 03:34:57,21.4,67.6,0.68,5.46,0.36,0.69
2025-07-07 04:04:57,21.3,67.5,0.68,5.46,0.37,0.71
2025-07-07 04:34:57,21.2,67.4,0.69,5.67,0.37,0.71
2025-07-07 05:04:57,21.1,67.7,0.70,5.92,0.38,0.74
2025-07-07 05:34:57,20.9,67.9,0.70,5.78,0.38,0.75
2025-07-07 06:04:57,20.8,68.1,0.69,5.72,0.38,0.73
2025-07-07 06:34:58,20.7,68.3,0.70,5.95,0.39,0.77
2025-07-07 07:04:58,20.6,68.6,0.70,5.94,0.39,0.77
2025-07-07 07:34:57,20.5,68.8,0.68,5.46,0.38,0.76
2025-07-07 08:04:57,20.1,69.4,0.69,5.74,0.38,0.73
2025-07-07 08:34:58,20.0,69.7,0.68,5.41,0.38,0.74
2025-07-07 09:04:58,19.9,70.2,0.68,5.34,0.37,0.71
2025-07-07 09:34:58,19.8,70.4,0.67,5.20,0.37,0.71
2025-07-07 10:04:58,19.5,66.1,0.59,3.81,0.33,0.59
2025-07-13 20:52:56,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-13 21:22:56,19.2,70.7,0.88,20.61,0.51,0.85
2025-07-13 21:52:56,19.1,71.1,0.91,22.50,0.55,0.96
2025-07-13 22:22:56,19.3,71.3,0.87,19.66,0.49,0.79
2025-07-13 22:52:56,19.1,71.3,0.88,20.34,0.51,0.85
2025-07-13 23:22:56,19.1,68.4,0.73,12.18,0.41,0.59
2025-07-13 23:52:56,18.9,69.9,0.80,15.32,0.38,0.50
2025-07-14 00:22:56,18.7,70.6,0.80,15.54,0.38,0.50
2025-07-14 00:52:56,19.0,69.8,0.78,14.32,0.40,0.55
2025-07-14 01:22:56,18.9,70.8,0.76,13.37,0.39,0.52
2025-07-14 01:52:56,18.8,71.3,0.80,15.37,0.43,0.63
2025-07-14 02:22:56,18.7,71.3,0.74,12.76,0.37,0.48
2025-07-14 02:52:56,18.5,71.3,0.74,12.58,0.37,0.49
2025-07-14 03:22:56,18.5,71.3,0.75,12.91,0.38,0.52
2025-07-14 03:52:56,18.2,71.3,0.73,12.03,0.38,0.51
2025-07-14 04:22:56,18.1,71.3,0.72,11.57,0.38,0.50
2025-07-14 04:52:56,18.0,71.3,0.72,11.89,0.38,0.52
2025-07-09 17:34:30,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-09 18:04:30,21.2,57.3,0.53,2.90,0.26,0.10
2025-07-09 18:34:30,21.1,57.1,0.55,3.12,0.27,0.10
2025-07-09 19:04:30,21.0,57.5,0.55,3.06,0.26,0.10
2025-07-09 19:34:30,20.8,58.3,0.55,3.14,0.26,0.10
2025-07-09 20:04:30,20.8,59.4,0.53,2.91,0.26,0.10
2025-07-09 20:34:30,20.7,59.6,0.53,2.86,0.25,0.09
2025-07-09 21:04:30,20.7,60.0,0.54,3.04,0.24,0.09
2025-07-09 21:34:30,20.7,61.2,0.54,3.03,0.25,0.09
2025-07-09 22:04:30,20.8,62.7,0.57,3.39,0.26,0.10
2025-07-09 22:34:30,20.6,62.6,0.56,3.21,0.24,0.09
2025-07-09 23:04:30,20.5,62.3,0.53,2.82,0.22,0.07
2025-07-09 23:34:30,20.4,62.1,0.53,2.86,0.23,0.08
2025-07-10 00:04:30,20.3,62.3,0.53,2.79,0.22,0.07
2025-07-10 00:34:30,20.3,62.3,0.54,2.98,0.22,0.08
2025-07-10 01:04:30,20.1,62.7,0.55,3.06,0.22,0.08
2025-07-10 01:34:30,20.0,62.9,0.52,2.67,0.22,0.07
2025-07-06 19:22:20,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-06 20:34:59,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-06 20:35:05,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-06 21:05:05,22.1,66.0,0.65,5.10,0.42,0.56
2025-07-06 21:35:05,21.8,65.3,0.61,4.27,0.37,0.45
2025-07-06 22:05:05,21.5,66.0,0.64,4.82,0.40,0.52
2025-07-06 22:35:06,21.6,65.7,0.68,5.64,0.46,0.66
2025-07-06 23:05:06,22.2,65.2,0.69,5.84,0.38,0.48
2025-07-06 23:35:06,22.3,65.6,0.65,5.10,0.36,0.43
2025-07-07 00:05:06,22.1,66.1,0.69,5.80,0.35,0.42
2025-07-07 00:35:06,22.0,66.6,0.71,6.34,0.38,0.48
2025-07-07 01:05:06,21.9,66.7,0.70,6.23,0.36,0.43
2025-07-07 01:35:06,21.7,67.0,0.70,6.02,0.37,0.44
2025-07-07 11:01:25,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-07 11:31:25,20.0,62.5,0.53,5.94,0.33,0.75
2025-07-07 12:01:25,20.1,61.4,0.47,4.47,0.30,0.66
2025-07-07 12:31:25,20.0,60.8,0.47,4.34,0.30,0.66
2025-07-07 13:01:25,19.8,57.6,0.47,4.47,0.33,0.78
2025-07-07 13:31:25,19.8,52.0,0.49,4.75,0.33,0.75
2025-07-07 14:01:25,20.2,51.2,0.46,4.07,0.32,0.72
2025-07-07 14:31:25,20.5,50.7,0.48,4.64,0.33,0.74
2025-07-07 15:01:25,21.0,51.5,0.48,4.67,0.33,0.75
2025-07-07 15:31:25,20.9,50.0,0.48,4.60,0.32,0.72
2025-07-07 16:01:25,21.0,53.6,0.50,5.09,0.33,0.78
2025-07-07 16:31:25,20.8,55.1,0.50,5.09,0.35,0.82
2025-07-07 17:01:25,20.4,58.2,0.51,5.29,0.35,0.83
2025-07-07 17:31:25,19.8,58.6,0.51,5.29,0.36,0.88
2025-07-07 18:01:25,20.2,58.1,0.49,4.87,0.34,0.82
2025-07-07 18:14:10,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-07 18:44:10,20.8,56.4,0.55,7.33,0.38,0.78
2025-07-07 19:14:10,20.7,56.3,0.58,8.22,0.40,0.82
2025-07-07 19:44:10,20.6,56.8,0.59,8.70,0.40,0.83
2025-07-07 20:14:10,20.6,57.3,0.58,8.22,0.40,0.84
2025-07-07 20:44:10,20.5,57.6,0.58,8.31,0.40,0.82
2025-07-07 21:14:10,20.4,58.0,0.59,8.88,0.42,0.90
2025-07-07 21:44:10,20.4,58.7,0.59,8.64,0.41,0.85
2025-07-07 22:14:10,20.3,58.7,0.58,8.31,0.39,0.81
2025-07-10 02:10:18,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-10 02:40:18,20.5,64.4,0.63,7.28,0.32,0.77
2025-07-10 03:10:18,20.3,65.6,0.59,6.18,0.29,0.65
2025-07-10 03:40:18,20.3,66.3,0.63,7.35,0.31,0.71
2025-07-10 04:10:18,20.4,67.5,0.62,7.23,0.31,0.72
2025-07-10 04:40:18,20.2,67.7,0.62,7.25,0.32,0.74
2025-07-10 05:10:18,20.3,68.8,0.61,6.92,0.30,0.69
2025-07-10 05:40:18,20.2,69.6,0.62,7.23,0.32,0.75
2025-07-10 06:10:18,20.2,69.4,0.64,7.80,0.31,0.73
2025-07-10 06:40:18,20.2,69.2,0.63,7.52,0.31,0.73
2025-07-10 07:10:18,20.2,69.2,0.64,7.60,0.31,0.73
2025-07-10 07:40:18,20.2,69.5,0.64,7.57,0.33,0.80
2025-07-10 08:10:18,20.2,69.2,0.64,7.80,0.32,0.76
2025-07-10 08:40:18,20.2,68.9,0.62,7.23,0.32,0.77
2025-07-10 09:10:18,20.2,68.5,0.63,7.40,0.31,0.70
2025-07-10 09:40:18,20.2,67.8,0.60,6.60,0.30,0.68
2025-07-10 09:57:13,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-10 10:27:13,20.7,68.0,0.59,5.52,0.29,0.72
2025-07-10 10:57:13,20.8,65.8,0.55,4.58,0.27,0.65
2025-07-10 11:27:13,20.7,65.3,0.55,4.65,0.26,0.59
2025-07-10 11:57:13,20.7,64.9,0.54,4.30,0.26,0.63
2025-07-10 12:27:13,21.0,63.5,0.53,4.14,0.15,0.25
2025-07-10 12:57:13,21.1,62.9,0.56,4.93,0.20,0.40
2025-07-10 13:27:13,21.6,61.3,0.53,4.14,0.18,0.33
2025-07-10 13:57:13,21.9,59.9,0.52,3.97,0.18,0.34
2025-07-10 14:27:13,22.1,58.0,0.51,3.87,0.18,0.32
2025-07-10 14:57:13,21.9,57.9,0.54,4.35,0.20,0.40
2025-07-10 15:27:13,21.7,58.0,0.52,4.10,0.20,0.39
2025-07-10 15:57:13,21.6,58.7,0.49,3.45,0.16,0.29
2025-07-10 16:27:13,21.3,59.1,0.49,3.43,0.16,0.27
2025-07-10 16:57:13,21.1,60.4,0.50,3.56,0.16,0.29
2025-07-10 17:27:13,21.1,61.6,0.49,3.47,0.15,0.26
2025-07-10 17:57:13,21.1,62.7,0.47,3.15,0.16,0.27
2025-07-13 01:03:01,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-13 01:33:01,19.7,71.3,0.68,4.51,0.36,0.98
2025-07-13 02:03:01,19.7,71.3,0.70,4.81,0.38,1.04
2025-07-13 02:33:01,19.7,71.3,0.71,5.04,0.41,1.19
2025-07-13 03:03:01,19.7,71.3,0.71,5.07,0.43,1.29
2025-07-13 03:33:01,19.6,71.3,0.71,5.05,0.42,1.25
2025-07-13 04:03:01,19.5,71.3,0.76,6.14,0.49,1.67
2025-07-13 04:33:01,19.4,71.3,0.70,4.98,0.43,1.32
2025-07-13 05:03:01,19.4,71.3,0.68,4.51,0.40,1.14
2025-07-13 05:33:01,19.2,71.3,0.68,4.47,0.40,1.15
2025-07-13 06:03:01,19.0,71.3,0.68,4.61,0.42,1.24
2025-07-13 06:33:01,18.9,71.3,0.67,4.34,0.39,1.12
2025-07-13 07:03:01,18.9,71.3,0.65,4.08,0.39,1.12
2025-07-13 07:33:01,18.9,71.3,0.68,4.44,0.40,1.15
2025-07-13 08:03:01,19.0,71.3,0.68,4.51,0.40,1.15
2025-07-13 08:33:02,19.0,71.3,0.66,4.24,0.40,1.13
2025-07-13 09:03:02,19.1,71.3,0.67,4.30,0.39,1.12
2025-07-07 22:26:04,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-07 22:56:04,20.5,59.5,0.57,5.15,0.38,0.63
2025-07-07 23:26:04,20.3,58.6,0.59,5.54,0.40,0.69
2025-07-07 23:56:04,20.1,58.5,0.58,5.37,0.38,0.64
2025-07-08 00:26:05,19.9,58.3,0.58,5.20,0.38,0.63
2025-07-08 00:56:05,19.8,58.5,0.57,5.04,0.39,0.66
2025-07-08 01:26:05,19.2,63.5,0.59,5.52,0.39,0.65
2025-07-08 01:56:05,19.1,65.2,0.60,5.87,0.40,0.68
2025-07-08 02:26:05,19.0,65.9,0.62,6.28,0.39,0.68
2025-07-08 02:56:05,18.8,66.9,0.60,5.81,0.38,0.65
2025-07-08 03:26:05,18.7,67.9,0.59,5.58,0.38,0.63
2025-07-08 03:56:05,18.7,68.3,0.61,6.08,0.39,0.67
2025-07-08 04:26:05,18.6,68.7,0.59,5.60,0.38,0.64
2025-07-08 04:56:05,18.5,69.2,0.60,5.83,0.39,0.65
2025-07-08 05:26:05,18.3,70.1,0.61,6.02,0.38,0.63
2025-07-08 05:56:05,18.1,70.7,0.61,6.12,0.37,0.61
2025-07-08 06:26:05,18.0,70.8,0.62,6.26,0.38,0.64
2025-07-11 20:09:22,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-08 15:51:06,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-08 16:21:06,21.4,48.2,0.47,3.89,0.41,0.57
2025-07-08 07:25:54,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-08 07:55:54,17.7,71.0,0.59,4.49,0.37,0.64
2025-07-08 08:25:54,17.7,71.2,0.60,4.76,0.37,0.64
2025-07-08 08:55:54,17.7,71.3,0.61,4.86,0.37,0.65
2025-07-08 09:25:54,17.7,71.2,0.60,4.62,0.37,0.64
2025-07-08 09:55:54,17.9,70.7,0.59,4.49,0.37,0.65
2025-07-08 10:25:54,18.5,66.0,0.57,4.18,0.35,0.58
2025-07-08 10:55:54,18.9,61.7,0.65,5.72,0.35,0.60
2025-07-08 11:25:54,19.2,52.6,0.65,5.89,0.35,0.57
2025-07-08 11:55:54,19.6,51.8,0.63,5.30,0.34,0.56
2025-07-08 12:25:54,20.0,52.6,0.66,5.98,0.35,0.57
2025-07-08 12:55:54,19.9,52.8,0.67,6.25,0.34,0.56
2025-07-08 13:25:54,20.5,50.2,0.69,6.85,0.34,0.56
2025-07-08 13:55:54,20.5,50.1,0.71,7.39,0.35,0.57
2025-07-08 14:25:54,20.8,49.2,0.75,8.44,0.34,0.55
2025-07-08 14:55:54,21.1,48.8,0.71,7.34,0.35,0.57
2025-07-08 15:25:54,21.3,49.3,0.77,9.10,0.35,0.58
2025-07-03 17:17:19,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-10 18:38:21,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-08 17:04:11,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-08 17:34:11,21.3,50.4,0.94,28.38,0.51,1.14
2025-07-08 18:04:11,21.4,54.2,0.87,22.57,0.51,1.13
2025-07-08 18:34:11,19.6,58.2,0.50,5.42,0.26,0.35
2025-07-08 19:04:11,19.4,59.5,0.52,5.86,0.29,0.44
2025-07-08 19:34:11,19.7,57.5,0.53,6.25,0.29,0.44
2025-07-08 20:04:11,19.7,59.1,0.55,6.73,0.29,0.42
2025-07-08 20:34:11,19.6,58.4,0.53,6.13,0.27,0.38
2025-07-08 21:04:11,20.0,55.9,0.61,8.74,0.45,0.90
2025-07-08 21:34:11,20.0,55.7,0.68,11.59,0.52,1.15
2025-07-08 22:04:11,20.0,55.3,0.68,11.49,0.51,1.14
2025-07-08 22:34:11,20.1,55.5,0.71,13.15,0.55,1.29
2025-07-08 23:04:11,20.0,56.8,0.66,10.82,0.50,1.07
2025-07-08 23:34:11,19.9,57.1,0.66,10.78,0.48,1.02
2025-07-09 00:04:11,19.8,57.6,0.65,10.14,0.47,0.97
2025-07-09 00:34:11,19.7,58.2,0.64,9.91,0.46,0.94
2025-07-09 01:04:11,19.6,58.9,0.66,10.65,0.48,1.00
2025-07-04 15:27:28,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-04 15:57:28,21.0,69.2,0.28,7.09,0.13,0.16
2025-07-04 16:27:28,20.8,67.3,0.27,6.41,0.12,0.15
2025-07-04 16:54:24,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-04 17:24:24,20.6,66.6,0.27,5.25,0.13,0.68
2025-07-04 17:54:24,18.6,71.3,0.17,1.77,0.06,0.18
2025-07-02 16:59:02,0.0,0.0,0.00,0.00,0.00,0.00
2025-07-02 17:29:03,22.5,57.1,0.30,2.84,0.13,1.46
2025-07-02 17:59:03,22.6,57.8,0.31,3.14,0.16,1.99
2025-07-02 18:29:03,22.9,59.2,0.33,3.54,0.17,2.23
