Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;116
Nome da estação:;São José do Rio Preto

Data;Hora;Média Horária
;;TEMP(Temperatura do Ar) - °C
16/07/2025;20:00;22,6
16/07/2025;21:00;21,1
16/07/2025;22:00;19,8
16/07/2025;23:00;19,4
16/07/2025;24:00;18,9
17/07/2025;01:00;19,0
17/07/2025;02:00;17,7
17/07/2025;03:00;17,1
17/07/2025;04:00;16,8
17/07/2025;05:00;16,4
17/07/2025;06:00;15,9
17/07/2025;07:00;15,3
17/07/2025;08:00;16,0
17/07/2025;09:00;18,9
17/07/2025;10:00;21,7
17/07/2025;11:00;24,1
17/07/2025;12:00;26,5
17/07/2025;13:00;27,6
17/07/2025;14:00;28,2
17/07/2025;15:00;28,7
17/07/2025;16:00;29,0
17/07/2025;17:00;28,4
17/07/2025;18:00;27,1
17/07/2025;19:00;24,3
17/07/2025;20:00;22,8
17/07/2025;21:00;21,3
17/07/2025;22:00;20,0
17/07/2025;23:00;19,1
17/07/2025;24:00;17,7
18/07/2025;01:00;17,2
18/07/2025;02:00;16,6
18/07/2025;03:00;15,7
18/07/2025;04:00;15,5
18/07/2025;05:00;16,0
18/07/2025;06:00;15,7
18/07/2025;07:00;15,0
18/07/2025;08:00;14,9
18/07/2025;09:00;16,2
18/07/2025;10:00;18,1
18/07/2025;11:00;21,4
18/07/2025;12:00;22,8
18/07/2025;13:00;23,8
18/07/2025;14:00;25,1
18/07/2025;15:00;25,9
18/07/2025;16:00;26,4
18/07/2025;17:00;26,4
18/07/2025;18:00;25,1
18/07/2025;19:00;23,2
18/07/2025;20:00;21,3
18/07/2025;21:00;20,2
18/07/2025;22:00;19,0
18/07/2025;23:00;17,8
18/07/2025;24:00;17,2
19/07/2025;01:00;16,6
19/07/2025;02:00;15,9
19/07/2025;03:00;15,4
19/07/2025;04:00;15,2
19/07/2025;05:00;14,5
19/07/2025;06:00;14,0
19/07/2025;07:00;13,4
19/07/2025;08:00;13,8
19/07/2025;09:00;17,0
19/07/2025;10:00;20,1
19/07/2025;11:00;23,2
19/07/2025;12:00;25,1
19/07/2025;13:00;26,0
19/07/2025;14:00;26,6
19/07/2025;15:00;27,3
19/07/2025;16:00;27,0
19/07/2025;17:00;26,6
19/07/2025;18:00;25,3
19/07/2025;19:00;23,1
19/07/2025;20:00;21,5
19/07/2025;21:00;20,2
19/07/2025;22:00;19,4
19/07/2025;23:00;17,9
19/07/2025;24:00;17,7
20/07/2025;01:00;16,4
20/07/2025;02:00;16,8
20/07/2025;03:00;16,2
20/07/2025;04:00;15,5
20/07/2025;05:00;15,1
20/07/2025;06:00;14,9
20/07/2025;07:00;14,0
20/07/2025;08:00;14,7
20/07/2025;09:00;17,5
20/07/2025;10:00;21,0
20/07/2025;11:00;24,9
20/07/2025;12:00;27,0
20/07/2025;13:00;27,5
20/07/2025;14:00;28,0
20/07/2025;15:00;28,9
20/07/2025;16:00;28,9
20/07/2025;17:00;28,4
20/07/2025;18:00;26,9
20/07/2025;19:00;24,7
20/07/2025;20:00;22,4
20/07/2025;21:00;21,4
20/07/2025;22:00;20,3
20/07/2025;23:00;19,4
20/07/2025;24:00;19,4
21/07/2025;01:00;18,8
21/07/2025;02:00;18,2
21/07/2025;03:00;17,0
21/07/2025;04:00;16,3
21/07/2025;05:00;15,6
21/07/2025;06:00;15,1
21/07/2025;07:00;15,0
21/07/2025;08:00;15,7
21/07/2025;09:00;17,9
21/07/2025;10:00;21,0
21/07/2025;11:00;24,8
21/07/2025;12:00;27,1
21/07/2025;13:00;28,6
21/07/2025;14:00;29,6
21/07/2025;15:00;29,6
21/07/2025;16:00;29,6
21/07/2025;17:00;29,1
21/07/2025;18:00;27,7
21/07/2025;19:00;25,3
21/07/2025;20:00;23,9
21/07/2025;21:00;22,6
